"provider_name","provider_id","provided_name","provided_id","share_provided","negligible_market_share","group","share"
"Intel","P9","Logic chip design: Advanced CPUs","N1",NA,"","N1",0.5
"AMD","P10","Logic chip design: Advanced CPUs","N1",NA,"","N1",0.5
"Nvidia","P11","Logic chip design: Discrete GPUs","N2",NA,"","N2",0.5
"Jingjia Micro","P12","Logic chip design: Discrete GPUs","N2",NA,"negligible","small",0.01
"Loongson","P13","Logic chip design: Advanced CPUs","N1",NA,"negligible","small",0.01
"Zhaoxin","P14","Logic chip design: Advanced CPUs","N1",NA,"negligible","small",0.01
"Phytium","P15","Logic chip design: Advanced CPUs","N1",NA,"negligible","small",0.01
"Efinix","P16","Logic chip design: FPGAs","N3",NA,"negligible","small",0.01
"Lattice","P18","Logic chip design: FPGAs","N3",NA,"","N3",0.166666666666667
"Intel","P9","Logic chip design: FPGAs","N3",NA,"","N3",0.166666666666667
"AMD","P10","Logic chip design: FPGAs","N3",NA,"","N3",0.166666666666667
"Microchip","P19","Logic chip design: FPGAs","N3",NA,"","N3",0.166666666666667
"Achronix","P20","Logic chip design: FPGAs","N3",NA,"","N3",0.166666666666667
"Flex Logic","P21","Logic chip design: FPGAs","N3",NA,"","N3",0.166666666666667
"HiSilicon","P17","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Google","P22","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Cerebras","P23","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Tesla","P24","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Graphcore","P25","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Cambricon","P26","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Horizon Robotics","P27","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Intellifusion","P28","Logic chip design: AI ASICs","N4",NA,"","N4",0.125
"Gowin","P29","Logic chip design: FPGAs","N3",NA,"negligible","small",0.01
"Shenzhen Pango","P30","Logic chip design: FPGAs","N3",NA,"negligible","small",0.01
"Sunway","P31","Logic chip design: Advanced CPUs","N1",NA,"negligible","small",0.01
"AMD","P10","Logic chip design: Discrete GPUs","N2",NA,"","N2",0.5
"TSMC","P34","Fabrication","S2",NA,"","S2",0.0555555555555556
"Samsung","P35","Fabrication","S2",NA,"","S2",0.0555555555555556
"GlobalFoundries","P36","Fabrication","S2",NA,"","S2",0.0555555555555556
"SMIC","P37","Fabrication","S2",NA,"","S2",0.0555555555555556
"UMC","P38","Fabrication","S2",NA,"","S2",0.0555555555555556
"Powerchip","P39","Fabrication","S2",NA,"","S2",0.0555555555555556
"Hua Hong","P40","Fabrication","S2",NA,"","S2",0.0555555555555556
"STMicroelectronics","P42","Fabrication","S2",NA,"","S2",0.0555555555555556
"NXP","P43","Fabrication","S2",NA,"","S2",0.0555555555555556
"Toshiba","P44","Fabrication","S2",NA,"","S2",0.0555555555555556
"Intel","P9","Fabrication","S2",NA,"","S2",0.0555555555555556
"Microchip","P19","Fabrication","S2",NA,"","S2",0.0555555555555556
"Amkor","P49","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"JCET","P50","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"Powertech","P57","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"TongFu","P52","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"Tianshui Huatian Technology","P53","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"UTAC","P54","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"SK Hynix","P55","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"Micron","P56","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"Powertech","P57","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"Intel","P9","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"Samsung","P35","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"TSMC","P34","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"ASE","P48","Assembly, testing, and packaging (ATP)","S3",NA,"","S3",0.0476190476190476
"PVA TePla","P58","Crystal growing furnaces","N8",NA,"","N8",0.5
